Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 136.785 NA 102 397 0 NA NA NA NA NA NA 184 726 0 NA NA NA NA NA NA 556 16592 622 NA NA NA NA NA NA 377 5487 677 NA NA NA NA NA
1579388400.0 136.786 NA 110 372 0 NA NA NA NA NA NA 178 726 0 NA NA NA NA NA NA 465 16030 621 NA NA NA NA NA NA 369 5336 693 NA NA NA NA NA
1579388400.0 136.791 NA 112 308 0 NA NA NA NA NA NA 185 691 0 NA NA NA NA NA NA 575 2593 537 NA NA NA NA NA NA 385 2039 608 NA NA NA NA NA
1579388400.0 136.793 NA 103 386 0 NA NA NA NA NA NA 179 697 0 NA NA NA NA NA NA 475 12649 653 NA NA NA NA NA NA 388 4656 749 NA NA NA NA NA
1579388400.0 136.798 NA 103 374 0 NA NA NA NA NA NA 181 701 0 NA NA NA NA NA NA 484 13180 660 NA NA NA NA NA NA 417 4726 815 NA NA NA NA NA
1579388400.0 136.799 NA 104 432 0 NA NA NA NA NA NA 186 714 0 NA NA NA NA NA NA 525 12512 643 NA NA NA NA NA NA 393 4606 690 NA NA NA NA NA
1579388400.0 136.802 NA 109 366 0 NA NA NA NA NA NA 177 717 0 NA NA NA NA NA NA 542 11918 655 NA NA NA NA NA NA 375 4439 720 NA NA NA NA NA
1579388400.0 136.803 NA 107 307 0 NA NA NA NA NA NA 187 687 0 NA NA NA NA NA NA 550 2670 566 NA NA NA NA NA NA 688 2140 659 NA NA NA NA NA
1579388400.0 136.81 NA 101 375 0 NA NA NA NA NA NA 184 695 0 NA NA NA NA NA NA 477 12195 679 NA NA NA NA NA NA 356 4441 750 NA NA NA NA NA
1579388400.0 136.814 NA 102 375 0 NA NA NA NA NA NA 179 671 0 NA NA NA NA NA NA 590 12597 667 NA NA NA NA NA NA 426 4572 765 NA NA NA NA NA
1579388400.0 136.815 NA 115 313 0 NA NA NA NA NA NA 187 685 0 NA NA NA NA NA NA 519 2709 549 NA NA NA NA NA NA 361 2089 597 NA NA NA NA NA
1579388400.0 136.82 NA 103 408 0 NA NA NA NA NA NA 185 775 0 NA NA NA NA NA NA 523 20453 710 NA NA NA NA NA NA 408 6953 804 NA NA NA NA NA
1579388400.0 136.822 NA 112 386 0 NA NA NA NA NA NA 178 726 0 NA NA NA NA NA NA 498 16338 680 NA NA NA NA NA NA 474 5546 757 NA NA NA NA NA
1579388400.0 136.823 NA 111 443 0 NA NA NA NA NA NA 179 820 0 NA NA NA NA NA NA 530 15604 695 NA NA NA NA NA NA 393 5406 827 NA NA NA NA NA
1579388400.0 136.827 NA 106 314 0 NA NA NA NA NA NA 189 656 0 NA NA NA NA NA NA 509 2948 577 NA NA NA NA NA NA 466 2569 645 NA NA NA NA NA
1579388400.0 136.829 NA 107 410 0 NA NA NA NA NA NA 181 800 0 NA NA NA NA NA NA 528 20616 729 NA NA NA NA NA NA 509 6957 930 NA NA NA NA NA
1579388400.0 136.83 NA 105 423 0 NA NA NA NA NA NA 180 776 0 NA NA NA NA NA NA 604 19313 803 NA NA NA NA NA NA 374 6526 853 NA NA NA NA NA
1579388400.0 136.831 NA 111 413 0 NA NA NA NA NA NA 186 813 0 NA NA NA NA NA NA 554 21925 733 NA NA NA NA NA NA 445 7053 991 NA NA NA NA NA
1579388400.0 136.8311 NA 168 0 NA NA NA NA NA NA NA 295 0 NA NA NA NA NA NA NA 2094 131 NA NA NA NA NA NA NA 1888 189 NA NA NA NA NA NA
1579388400.0 136.839 NA 114 314 0 NA NA NA NA NA NA 195 721 0 NA NA NA NA NA NA 501 3005 581 NA NA NA NA NA NA 337 2596 653 NA NA NA NA NA
1579388400.0 136.841 NA 113 396 0 NA NA NA NA NA NA 185 714 0 NA NA NA NA NA NA 519 15398 671 NA NA NA NA NA NA 373 5360 722 NA NA NA NA NA
1579388400.0 136.842 NA 111 408 0 NA NA NA NA NA NA 184 767 0 NA NA NA NA NA NA 576 21318 732 NA NA NA NA NA NA 461 6947 920 NA NA NA NA NA
1579388400.0 136.845 NA 102 373 0 NA NA NA NA NA NA 186 712 0 NA NA NA NA NA NA 529 12364 659 NA NA NA NA NA NA 341 4533 746 NA NA NA NA NA
1579388400.0 136.846 NA 103 369 0 NA NA NA NA NA NA 179 682 0 NA NA NA NA NA NA 530 11808 663 NA NA NA NA NA NA 332 4532 723 NA NA NA NA NA
1579388400.0 136.848 NA 104 397 0 NA NA NA NA NA NA 185 718 0 NA NA NA NA NA NA 632 22051 739 NA NA NA NA NA NA 411 7343 960 NA NA NA NA NA
1579388400.0 136.8501 NA 109 390 0 NA NA NA NA NA NA 181 699 0 NA NA NA NA NA NA 460 15531 697 NA NA NA NA NA NA 399 5404 770 NA NA NA NA NA
